Index, Time, t(seconds), T1,T2,T3,T4,T5,T6,T7,T8,Tenv,Tavg,Tmin,Tmax,Trange,Tsigma
1, 2024/3/28 22:59:29, 0.06, 29.57,19.99,21.94,--,--,--,--,--,22.04,23.83, 19.99, 29.57, 9.58, 5.062868
2, 2024/3/28 22:59:30, 1.06, 29.62,20.04,21.92,--,--,--,--,--,22.03,23.86, 20.04, 29.62, 9.58, 5.076098
3, 2024/3/28 22:59:31, 2.06, 29.60,19.99,21.97,--,--,--,--,--,22.03,23.85, 19.99, 29.60, 9.61, 5.074274
4, 2024/3/28 22:59:32, 3.06, 29.58,20.00,21.90,--,--,--,--,--,22.03,23.83, 20.00, 29.58, 9.58, 5.072290
5, 2024/3/28 22:59:33, 4.06, 29.58,19.99,21.85,--,--,--,--,--,22.04,23.81, 19.99, 29.58, 9.59, 5.085610
6, 2024/3/28 22:59:34, 5.06, 29.57,19.99,21.72,--,--,--,--,--,22.04,23.76, 19.99, 29.57, 9.58, 5.105419
7, 2024/3/28 22:59:35, 6.06, 29.60,19.97,21.60,--,--,--,--,--,22.04,23.72, 19.97, 29.60, 9.63, 5.154188
8, 2024/3/28 22:59:36, 7.06, 29.64,19.95,21.50,--,--,--,--,--,22.04,23.70, 19.95, 29.64, 9.69, 5.205095
9, 2024/3/28 22:59:37, 8.07, 29.65,19.97,21.36,--,--,--,--,--,22.04,23.66, 19.97, 29.65, 9.68, 5.233843
10, 2024/3/28 22:59:38, 9.07, 29.62,19.95,21.17,--,--,--,--,--,22.03,23.58, 19.95, 29.62, 9.67, 5.266241
11, 2024/3/28 22:59:39, 10.07, 29.65,19.98,20.98,--,--,--,--,--,22.04,23.54, 19.98, 29.65, 9.67, 5.317860
12, 2024/3/28 22:59:40, 11.07, 29.59,19.93,20.90,--,--,--,--,--,22.04,23.47, 19.93, 29.59, 9.66, 5.319347
13, 2024/3/28 22:59:41, 12.07, 29.60,19.96,20.88,--,--,--,--,--,22.04,23.48, 19.96, 29.60, 9.64, 5.320001
14, 2024/3/28 22:59:42, 13.07, 29.55,19.95,20.86,--,--,--,--,--,22.04,23.45, 19.95, 29.55, 9.60, 5.299436
15, 2024/3/28 22:59:43, 14.07, 29.59,19.99,20.91,--,--,--,--,--,22.05,23.50, 19.99, 29.59, 9.60, 5.296993
16, 2024/3/28 22:59:44, 15.07, 29.54,19.95,20.90,--,--,--,--,--,22.04,23.46, 19.95, 29.54, 9.59, 5.283941
17, 2024/3/28 22:59:45, 16.08, 29.55,19.97,20.70,--,--,--,--,--,22.03,23.41, 19.97, 29.55, 9.58, 5.332788
18, 2024/3/28 22:59:46, 17.08, 29.52,19.92,20.63,--,--,--,--,--,22.03,23.36, 19.92, 29.52, 9.60, 5.349395
19, 2024/3/28 22:59:47, 18.08, 29.61,19.93,20.61,--,--,--,--,--,22.04,23.38, 19.93, 29.61, 9.68, 5.403160
20, 2024/3/28 22:59:48, 19.08, 29.60,19.94,20.66,--,--,--,--,--,22.03,23.40, 19.94, 29.60, 9.66, 5.381413
21, 2024/3/28 22:59:49, 20.08, 29.55,19.96,20.67,--,--,--,--,--,22.03,23.39, 19.96, 29.55, 9.59, 5.343634
22, 2024/3/28 22:59:50, 21.08, 29.51,19.95,20.65,--,--,--,--,--,22.04,23.37, 19.95, 29.51, 9.56, 5.328901
23, 2024/3/28 22:59:51, 22.08, 29.55,19.98,20.64,--,--,--,--,--,22.04,23.39, 19.98, 29.55, 9.57, 5.344913
24, 2024/3/28 22:59:52, 23.09, 29.53,20.00,20.59,--,--,--,--,--,22.05,23.37, 20.00, 29.53, 9.53, 5.339985
25, 2024/3/28 22:59:53, 24.09, 29.51,19.94,20.54,--,--,--,--,--,22.03,23.33, 19.94, 29.51, 9.57, 5.360436
26, 2024/3/28 22:59:54, 25.09, 29.53,19.94,20.60,--,--,--,--,--,22.04,23.36, 19.94, 29.53, 9.59, 5.356438
