Index, Time, t(seconds), T1,T2,T3,T4,T5,T6,T7,T8,Tenv,Tavg,Tmin,Tmax,Trange,Tsigma,,ZnCl_2+citrate+cellulose+Na_2SiO_3
1, 2024/5/3 15:28:40,0.05,9.59,25.02,18.71,18.67,--,--,--,--,24.27,25.44,18.67,37.61,18.94,8.962953,,
2, 2024/5/3 15:28:41,1.05,9.61,24.95,18.7,18.65,--,--,--,--,24.25,25.4,18.65,37.56,18.91,8.944422,,
3, 2024/5/3 15:28:42,2.05,9.71,24.89,18.67,18.65,--,--,--,--,24.24,25.39,18.65,37.6,18.95,8.96721,,
4, 2024/5/3 15:28:43,3.05,9.69,24.93,18.71,18.63,--,--,--,--,24.25,25.41,18.63,37.62,18.99,8.973207,,
5, 2024/5/3 15:28:44,4.06,9.78,24.9,18.67,18.65,--,--,--,--,24.25,25.41,18.65,37.68,19.03,9.003994,,
6, 2024/5/3 15:28:45,5.06,9.86,24.86,18.74,18.66,--,--,--,--,24.25,25.43,18.66,37.72,19.06,9.000471,,
7, 2024/5/3 15:28:46,6.06,9.87,24.87,18.72,18.65,--,--,--,--,24.25,25.43,18.65,37.74,19.09,9.017479,,
8, 2024/5/3 15:28:47,7.06,9.96,24.84,18.71,18.64,--,--,--,--,24.24,25.44,18.64,37.8,19.16,9.04848,,
9, 2024/5/3 15:28:48,8.06,10.03,24.83,18.73,18.62,--,--,--,--,24.26,25.45,18.62,37.86,19.24,9.075467,,
10, 2024/5/3 15:28:49,9.06,10.09,24.8,18.72,18.6,--,--,--,--,24.25,25.44,18.6,37.89,19.29,9.095395,,
11, 2024/5/3 15:28:50,10.06,10.16,24.77,18.56,18.52,--,--,--,--,24.24,25.38,18.52,37.93,19.41,9.171951,,
12, 2024/5/3 15:28:51,11.07,10.15,24.78,18.49,18.51,--,--,--,--,24.25,25.37,18.49,37.93,19.44,9.192264,,
13, 2024/5/3 15:28:52,12.07,10.25,24.72,18.43,18.46,--,--,--,--,24.24,25.33,18.43,37.97,19.54,9.235369,,
14, 2024/5/3 15:28:53,13.07,10.29,24.74,18.43,18.42,--,--,--,--,24.25,25.34,18.42,38.03,19.61,9.273493,,
15, 2024/5/3 15:28:54,14.07,10.32,24.73,18.41,18.35,--,--,--,--,24.25,25.32,18.35,38.05,19.7,9.304613,,
16, 2024/5/3 15:28:55,15.07,10.37,24.7,18.37,18.27,--,--,--,--,24.24,25.29,18.27,38.07,19.8,9.342389,,
17, 2024/5/3 15:28:56,16.07,10.4,24.69,18.34,18.25,--,--,--,--,24.25,25.28,18.25,38.09,19.84,9.363514,,
18, 2024/5/3 15:28:57,17.07,10.5,24.64,18.35,18.19,--,--,--,--,24.24,25.27,18.19,38.14,19.95,9.396879,,
19, 2024/5/3 15:28:58,18.08,10.48,24.68,18.31,18.15,--,--,--,--,24.24,25.26,18.15,38.16,20.01,9.427503,,
20, 2024/5/3 15:28:59,19.08,10.58,24.63,18.29,18.12,--,--,--,--,24.25,25.25,18.12,38.21,20.09,9.460743,,
21, 2024/5/3 15:29:00,20.08,10.55,24.65,18.3,18.12,--,--,--,--,24.26,25.26,18.12,38.2,20.08,9.45453,,
22, 2024/5/3 15:29:01,21.08,10.62,24.63,18.29,18.11,--,--,--,--,24.25,25.26,18.11,38.25,20.14,9.481524,,
23, 2024/5/3 15:29:02,22.08,10.7,24.61,18.31,18.19,--,--,--,--,24.25,25.29,18.19,38.31,20.12,9.483244,,
24, 2024/5/3 15:29:03,23.08,10.76,24.57,18.35,18.24,--,--,--,--,24.24,25.31,18.24,38.33,20.09,9.468669,,
25, 2024/5/3 15:29:04,24.08,10.77,24.59,18.41,18.26,--,--,--,--,24.25,25.34,18.26,38.36,20.1,9.463468,,
26, 2024/5/3 15:29:05,25.08,10.81,24.56,18.39,18.23,--,--,--,--,24.24,25.33,18.23,38.37,20.14,9.479372,,
27, 2024/5/3 15:29:06,26.08,10.86,24.56,18.4,18.14,--,--,--,--,24.25,25.32,18.14,38.42,20.28,9.52241,,
28, 2024/5/3 15:29:07,27.09,10.84,24.57,18.35,18.14,--,--,--,--,24.25,25.31,18.14,38.41,20.27,9.530312,,
29, 2024/5/3 15:29:08,28.09,10.91,24.55,18.35,18.1,--,--,--,--,24.25,25.3,18.1,38.46,20.36,9.562566,,
30, 2024/5/3 15:29:09,29.09,10.96,24.54,18.31,18.09,--,--,--,--,24.24,25.3,18.09,38.5,20.41,9.592779,,
31, 2024/5/3 15:29:10,30.09,11,24.51,18.33,18.09,--,--,--,--,24.24,25.3,18.09,38.51,20.42,9.5915,,
32, 2024/5/3 15:29:11,31.09,11,24.51,18.26,18.11,--,--,--,--,24.25,25.29,18.11,38.51,20.4,9.603515,,
33, 2024/5/3 15:29:12,32.09,11.02,24.49,18.13,18.04,--,--,--,--,24.25,25.23,18.04,38.51,20.47,9.652022,,
34, 2024/5/3 15:29:13,33.1,11.1,24.46,18.11,18.21,--,--,--,--,24.25,25.27,18.11,38.56,20.45,9.637027,,
35, 2024/5/3 15:29:14,34.1,11.13,24.49,18.02,18.49,--,--,--,--,24.25,25.34,18.02,38.62,20.6,9.620693,,
36, 2024/5/3 15:29:15,35.1,11.17,24.45,17.93,18.67,--,--,--,--,24.25,25.36,17.93,38.62,20.69,9.600245,,
37, 2024/5/3 15:29:16,36.1,11.18,24.44,17.93,18.79,--,--,--,--,24.25,25.38,17.93,38.62,20.69,9.572255,,
38, 2024/5/3 15:29:17,37.1,11.21,24.45,17.91,18.81,--,--,--,--,24.24,25.4,17.91,38.66,20.75,9.591589,,
39, 2024/5/3 15:29:18,38.1,11.24,24.42,17.87,18.81,--,--,--,--,24.25,25.38,17.87,38.66,20.79,9.601171,,
40, 2024/5/3 15:29:19,39.1,11.28,24.42,17.88,18.76,--,--,--,--,24.25,25.38,17.88,38.7,20.82,9.628446,,
41, 2024/5/3 15:29:20,40.11,11.32,24.41,17.87,18.68,--,--,--,--,24.25,25.36,17.87,38.73,20.86,9.662976,,
42, 2024/5/3 15:29:21,41.11,11.33,24.41,17.83,18.66,--,--,--,--,24.25,25.35,17.83,38.74,20.91,9.682539,,
43, 2024/5/3 15:29:22,42.12,11.37,24.37,17.82,18.59,--,--,--,--,24.25,25.32,17.82,38.74,20.92,9.70016,,
44, 2024/5/3 15:29:23,43.14,11.41,24.37,17.78,18.55,--,--,--,--,24.25,25.31,17.78,38.78,21,9.738163,,
45, 2024/5/3 15:29:24,44.15,11.43,24.37,17.8,18.5,--,--,--,--,24.26,25.31,17.8,38.8,21,9.753842,,
46, 2024/5/3 15:29:25,45.16,11.47,24.37,17.77,18.45,--,--,--,--,24.25,25.3,17.77,38.84,21.07,9.791618,,
47, 2024/5/3 15:29:26,46.18,11.49,24.37,17.74,18.41,--,--,--,--,24.25,25.28,17.74,38.86,21.12,9.817849,,
