Index, Time, t(seconds), T1,T2,T3,T4,T5,T6,T7,T8,Tenv,Tavg,Tmin,Tmax,Trange,Tsigma,,difference-in-temp
1, 2024/5/3 14:04:28,0.05,17.48,18.76,24.2,0,--,--,--,--,23.35,20.9,17.48,24.2,6.72,3.275338,,
2, 2024/5/3 14:04:29,1.05,17.54,18.77,24.21,0.08,--,--,--,--,23.35,20.89,17.54,24.21,6.67,3.233255,,
3, 2024/5/3 14:04:30,2.05,17.55,18.77,24.24,0.112,--,--,--,--,23.35,20.91,17.55,24.24,6.69,3.248949,,
4, 2024/5/3 14:04:31,3.06,17.62,18.87,25.18,0.12,--,--,--,--,23.35,21.19,17.62,25.18,7.56,3.542946,,
5, 2024/5/3 14:04:32,4.06,17.57,18.96,27.26,0.224,--,--,--,--,23.35,21.75,17.57,27.26,9.69,4.388527,,
6, 2024/5/3 14:04:33,5.06,17.59,18.95,28.75,0.28,--,--,--,--,23.35,22.15,17.59,28.75,11.16,5.029682,,
7, 2024/5/3 14:04:34,6.06,17.58,18.96,29.84,0.296,--,--,--,--,23.36,22.42,17.58,29.84,12.26,5.515,,
8, 2024/5/3 14:04:35,7.06,17.6,18.98,30.68,0.36,--,--,--,--,23.36,22.66,17.6,30.68,13.08,5.887818,,
9, 2024/5/3 14:04:36,8.06,17.57,19.08,31.39,0.36,--,--,--,--,23.35,22.86,17.57,31.39,13.82,6.199844,,
10, 2024/5/3 14:04:37,9.06,17.6,19.08,32.02,0.4,--,--,--,--,23.35,23.04,17.6,32.02,14.42,6.482682,,
11, 2024/5/3 14:04:38,10.07,17.56,18.98,32.54,0.44,--,--,--,--,23.35,23.14,17.56,32.54,14.98,6.75585,,
12, 2024/5/3 14:04:39,11.07,17.55,18.89,32.98,0.48,--,--,--,--,23.35,23.24,17.55,32.98,15.43,6.982269,,
13, 2024/5/3 14:04:40,12.07,17.57,18.89,33.37,0.536,--,--,--,--,23.36,23.36,17.57,33.37,15.8,7.159321,,
14, 2024/5/3 14:04:41,13.07,17.62,18.8,33.74,0.576,--,--,--,--,23.35,23.46,17.62,33.74,16.12,7.338017,,
15, 2024/5/3 14:04:42,14.07,17.54,18.8,34.06,0.616,--,--,--,--,23.35,23.53,17.54,34.06,16.52,7.509247,,
16, 2024/5/3 14:04:43,15.07,17.58,18.71,34.43,0.64,--,--,--,--,23.35,23.62,17.58,34.43,16.85,7.691123,,
17, 2024/5/3 14:04:44,16.07,17.57,18.67,34.75,0.696,--,--,--,--,23.36,23.7,17.57,34.75,17.18,7.852652,,
18, 2024/5/3 14:04:45,17.08,17.59,18.63,35.04,0.744,--,--,--,--,23.35,23.78,17.59,35.04,17.45,7.992377,,
19, 2024/5/3 14:04:46,18.08,17.58,18.59,35.36,0.8,--,--,--,--,23.35,23.87,17.58,35.36,17.78,8.154087,,
20, 2024/5/3 14:04:47,19.08,17.58,18.58,35.76,0.8,--,--,--,--,23.35,23.97,17.58,35.76,18.18,8.34444,,
21, 2024/5/3 14:04:48,20.08,17.56,18.61,36.19,0.872,--,--,--,--,23.35,24.1,17.56,36.19,18.63,8.545653,,
22, 2024/5/3 14:04:49,21.08,17.55,18.55,36.58,0.912,--,--,--,--,23.36,24.19,17.55,36.58,19.03,8.744969,,
23, 2024/5/3 14:04:50,22.08,17.57,18.55,36.92,0.952,--,--,--,--,23.36,24.29,17.57,36.92,19.35,8.900346,,
24, 2024/5/3 14:04:51,23.08,17.55,18.51,37.28,1,--,--,--,--,23.36,24.38,17.55,37.28,19.73,9.083903,,
25, 2024/5/3 14:04:52,24.08,17.56,18.46,37.66,1.04,--,--,--,--,23.36,24.48,17.56,37.66,20.1,9.271765,,
26, 2024/5/3 14:04:53,25.09,17.55,18.42,37.97,1.112,--,--,--,--,23.36,24.57,17.55,37.97,20.42,9.429042,,
