Index, Time, t(seconds), T1,T2,T3,T4,T5,T6,T7,T8,Tenv,Tavg,Tmin,Tmax,Trange,Tsigma,,one-layer
1, 2024/5/3 12:53:51,0.05,21.44,23.7,23.7,24.02,--,--,--,--,22.94,22.56,20.97,24.02,3.05,1.576037,,
2, 2024/5/3 12:53:52,1.05,21.43,23.78,23.64,24.05,--,--,--,--,22.91,22.57,21.05,24.05,3,1.545884,,
3, 2024/5/3 12:53:53,2.05,21.42,23.77,23.61,24.06,--,--,--,--,22.91,22.56,21.04,24.06,3.02,1.547304,,
4, 2024/5/3 12:53:54,3.05,21.45,23.78,23.63,24.05,--,--,--,--,22.92,22.57,21.05,24.05,3,1.538483,,
5, 2024/5/3 12:53:55,4.06,21.41,23.77,23.61,24.07,--,--,--,--,22.91,22.56,21.04,24.07,3.03,1.553003,,
6, 2024/5/3 12:53:56,5.06,21.43,23.79,23.61,24.09,--,--,--,--,22.93,22.57,21.06,24.09,3.03,1.548085,,
7, 2024/5/3 12:53:57,6.06,21.42,23.79,23.63,24.06,--,--,--,--,22.92,22.57,21.06,24.06,3,1.545772,,
8, 2024/5/3 12:53:58,7.06,21.42,23.74,23.64,24.05,--,--,--,--,22.92,22.56,21.01,24.05,3.04,1.561462,,
9, 2024/5/3 12:53:59,8.06,21.43,23.76,23.62,24.06,--,--,--,--,22.92,22.56,21.03,24.06,3.03,1.550629,,
10, 2024/5/3 12:54:00,9.06,21.43,23.79,23.65,24.03,--,--,--,--,22.92,22.57,21.06,24.03,2.97,1.538795,,
11, 2024/5/3 12:54:01,10.06,21.4,23.76,23.56,24.04,--,--,--,--,22.91,22.53,21.03,24.04,3.01,1.536649,,
12, 2024/5/3 12:54:02,11.07,21.41,23.75,23.6,24.04,--,--,--,--,22.93,22.54,21.02,24.04,3.02,1.547352,,
13, 2024/5/3 12:54:03,12.07,21.43,23.76,23.63,24.06,--,--,--,--,22.93,22.56,21.03,24.06,3.03,1.553126,,
14, 2024/5/3 12:54:04,13.07,21.41,23.75,23.62,24.04,--,--,--,--,22.93,22.55,21.02,24.04,3.02,1.55236,,
15, 2024/5/3 12:54:05,14.07,21.41,23.75,23.6,24.04,--,--,--,--,22.92,22.54,21.02,24.04,3.02,1.547352,,
16, 2024/5/3 12:54:06,15.07,21.38,23.78,23.59,24.02,--,--,--,--,22.92,22.54,21.05,24.02,2.97,1.536072,,
17, 2024/5/3 12:54:07,16.07,21.43,23.77,23.56,24.04,--,--,--,--,22.93,22.54,21.04,24.04,3,1.526047,,
18, 2024/5/3 12:54:08,17.07,21.42,23.75,23.6,24.01,--,--,--,--,22.93,22.54,21.02,24.01,2.99,1.535285,,
19, 2024/5/3 12:54:09,18.08,21.39,23.8,23.59,24.01,--,--,--,--,22.92,22.54,21.07,24.01,2.94,1.523898,,
20, 2024/5/3 12:54:10,19.08,21.38,23.79,23.58,24.04,--,--,--,--,22.92,22.54,21.06,24.04,2.98,1.53684,,
21, 2024/5/3 12:54:11,20.08,21.4,23.75,23.57,24.04,--,--,--,--,22.93,22.53,21.02,24.04,3.02,1.542368,,
22, 2024/5/3 12:54:12,21.08,21.4,23.79,23.61,24.02,--,--,--,--,22.92,22.55,21.06,24.02,2.96,1.532876,,
23, 2024/5/3 12:54:13,22.08,21.41,23.74,23.61,24.04,--,--,--,--,22.93,22.54,21.01,24.04,3.03,1.553133,,
24, 2024/5/3 12:54:14,23.08,21.38,23.74,23.61,24.02,--,--,--,--,22.92,22.53,21.01,24.02,3.01,1.554074,,
25, 2024/5/3 12:54:15,24.09,21.38,23.76,23.58,24.04,--,--,--,--,22.93,22.53,21.03,24.04,3.01,1.546511,,
26, 2024/5/3 12:54:16,25.08,21.44,23.75,23.59,24.07,--,--,--,--,22.92,22.56,21.02,24.07,3.05,1.54735,,
27, 2024/5/3 12:54:17,26.09,22.57,23.84,23.63,25.54,--,--,--,--,22.93,23.24,21.11,25.54,4.43,1.872236,,
28, 2024/5/3 12:54:18,27.09,23.88,23.83,23.64,27.11,--,--,--,--,22.93,23.96,21.1,27.11,6.01,2.46014,,
29, 2024/5/3 12:54:19,28.09,24.95,23.88,23.66,28.35,--,--,--,--,22.93,24.55,21.15,28.35,7.2,2.987982,,
30, 2024/5/3 12:54:20,29.09,25.8,23.89,23.69,29.28,--,--,--,--,22.93,25.01,21.16,29.28,8.12,3.423833,,
31, 2024/5/3 12:54:21,30.09,26.5,23.95,23.67,30.06,--,--,--,--,22.93,25.39,21.22,30.06,8.84,3.788328,,
32, 2024/5/3 12:54:22,31.09,27.08,24,23.72,30.69,--,--,--,--,22.93,25.72,21.27,30.69,9.42,4.080971,,
33, 2024/5/3 12:54:23,32.09,27.58,24.03,23.69,31.23,--,--,--,--,22.94,25.98,21.3,31.23,9.93,4.352046,,
34, 2024/5/3 12:54:24,33.1,28.07,24.06,23.73,31.64,--,--,--,--,22.93,26.22,21.33,31.64,10.31,4.561543,,
35, 2024/5/3 12:54:25,34.1,28.44,24.11,23.77,32.08,--,--,--,--,22.93,26.44,21.38,32.08,10.7,4.761583,,
36, 2024/5/3 12:54:26,35.1,28.8,24.14,23.73,32.44,--,--,--,--,22.93,26.62,21.41,32.44,11.03,4.951531,,
37, 2024/5/3 12:54:27,36.1,29.14,24.15,23.69,32.79,--,--,--,--,22.93,26.79,21.42,32.79,11.37,5.143261,,
38, 2024/5/3 12:54:28,37.1,29.46,24.19,23.75,33.08,--,--,--,--,22.93,26.96,21.46,33.08,11.62,5.279724,,
39, 2024/5/3 12:54:29,38.1,29.78,24.23,23.75,33.34,--,--,--,--,22.93,27.12,21.5,33.34,11.84,5.417297,,
40, 2024/5/3 12:54:30,39.1,30.07,24.29,23.74,33.58,--,--,--,--,22.93,27.26,21.56,33.58,12.02,5.5385,,
41, 2024/5/3 12:54:31,40.11,30.37,24.34,23.78,33.8,--,--,--,--,22.93,27.42,21.61,33.8,12.19,5.647846,,
42, 2024/5/3 12:54:32,41.11,30.67,24.39,23.77,34.04,--,--,--,--,22.93,27.56,21.66,34.04,12.38,5.77606,,
43, 2024/5/3 12:54:33,42.11,30.93,24.43,23.78,34.28,--,--,--,--,22.93,27.7,21.7,34.28,12.58,5.896937,,
44, 2024/5/3 12:54:34,43.11,31.2,24.46,23.77,34.51,--,--,--,--,22.93,27.83,21.73,34.51,12.78,6.02414,,
45, 2024/5/3 12:54:35,44.11,31.44,24.5,23.76,34.7,--,--,--,--,22.92,27.94,21.77,34.7,12.93,6.128157,,
46, 2024/5/3 12:54:36,45.11,31.68,24.6,23.81,34.92,--,--,--,--,22.94,28.1,21.87,34.92,13.05,6.210145,,
47, 2024/5/3 12:54:37,46.11,31.89,24.62,23.79,35.06,--,--,--,--,22.93,28.18,21.89,35.06,13.17,6.299912,,
48, 2024/5/3 12:54:38,47.12,32.14,24.68,23.83,35.23,--,--,--,--,22.93,28.31,21.95,35.23,13.28,6.381986,,
49, 2024/5/3 12:54:39,48.12,32.34,24.72,23.82,35.45,--,--,--,--,22.93,28.43,21.99,35.45,13.46,6.490559,,
50, 2024/5/3 12:54:40,49.12,32.64,24.78,23.8,35.68,--,--,--,--,22.93,28.57,22.05,35.68,13.63,6.619067,,
51, 2024/5/3 12:54:41,50.12,32.84,24.81,23.83,35.92,--,--,--,--,22.93,28.69,22.08,35.92,13.84,6.729164,,
52, 2024/5/3 12:54:42,51.12,33.05,24.89,23.86,36.07,--,--,--,--,22.94,28.81,22.16,36.07,13.91,6.792895,,
53, 2024/5/3 12:54:43,52.12,33.29,24.96,23.84,36.31,--,--,--,--,22.93,28.94,22.23,36.31,14.08,6.910463,,
54, 2024/5/3 12:54:44,53.12,33.44,25.03,23.86,36.51,--,--,--,--,22.94,29.05,22.3,36.51,14.21,6.985563,,
55, 2024/5/3 12:54:45,54.13,33.65,25.06,23.88,36.7,--,--,--,--,22.94,29.17,22.33,36.7,14.37,7.082677,,
56, 2024/5/3 12:54:46,55.13,33.82,25.09,23.88,36.9,--,--,--,--,22.94,29.27,22.36,36.9,14.54,7.179868,,
57, 2024/5/3 12:54:47,56.13,34.07,25.14,23.92,37.06,--,--,--,--,22.95,29.39,22.41,37.06,14.65,7.263807,,
58, 2024/5/3 12:54:48,57.13,34.23,25.23,23.91,37.21,--,--,--,--,22.94,29.49,22.5,37.21,14.71,7.324762,,
59, 2024/5/3 12:54:49,58.13,34.48,25.27,23.94,37.45,--,--,--,--,22.94,29.63,22.54,37.45,14.91,7.442917,,
60, 2024/5/3 12:54:50,59.13,34.69,25.31,23.94,37.62,--,--,--,--,22.93,29.73,22.58,37.62,15.04,7.53552,,
61, 2024/5/3 12:54:51,60.13,34.92,25.37,23.93,37.78,--,--,--,--,22.94,29.84,22.64,37.78,15.14,7.625526,,
62, 2024/5/3 12:54:52,61.13,35.16,25.42,23.95,37.95,--,--,--,--,22.95,29.96,22.69,37.95,15.26,7.717103,,
63, 2024/5/3 12:54:53,62.14,35.36,25.45,23.93,38.08,--,--,--,--,22.93,30.05,22.72,38.08,15.36,7.802697,,
64, 2024/5/3 12:54:54,63.14,35.6,25.51,23.95,38.26,--,--,--,--,22.94,30.17,22.78,38.26,15.48,7.895134,,
65, 2024/5/3 12:54:55,64.14,35.77,25.55,23.94,38.41,--,--,--,--,22.93,30.26,22.82,38.41,15.59,7.975475,,
66, 2024/5/3 12:54:56,65.14,36,25.64,24,38.6,--,--,--,--,22.94,30.4,22.91,38.6,15.69,8.049638,,
67, 2024/5/3 12:54:57,66.14,36.2,25.69,24.03,38.72,--,--,--,--,22.94,30.5,22.96,38.72,15.76,8.113506,,
68, 2024/5/3 12:54:58,67.14,36.39,25.75,24.02,38.88,--,--,--,--,22.94,30.6,23.02,38.88,15.86,8.196123,,
69, 2024/5/3 12:54:59,68.14,36.61,25.82,24.04,39.08,--,--,--,--,22.94,30.73,23.09,39.08,15.99,8.288439,,
70, 2024/5/3 12:55:00,69.15,36.82,25.88,24.06,39.21,--,--,--,--,22.94,30.84,23.15,39.21,16.06,8.358145,,
71, 2024/5/3 12:55:01,70.15,37.08,25.95,24.07,39.39,--,--,--,--,22.96,30.97,23.22,39.39,16.17,8.456376,,
72, 2024/5/3 12:55:02,71.15,37.28,26.03,24.08,39.52,--,--,--,--,22.94,31.07,23.3,39.52,16.22,8.520791,,
73, 2024/5/3 12:55:03,72.15,37.48,26.07,24.11,39.66,--,--,--,--,22.95,31.17,23.34,39.66,16.32,8.595476,,
74, 2024/5/3 12:55:04,73.15,37.67,26.15,24.11,39.8,--,--,--,--,22.94,31.28,23.42,39.8,16.38,8.663851,,
75, 2024/5/3 12:55:05,74.15,37.91,26.19,24.12,39.92,--,--,--,--,22.94,31.38,23.46,39.92,16.46,8.747655,,
76, 2024/5/3 12:55:06,75.15,38.08,26.26,24.15,40.09,--,--,--,--,22.94,31.49,23.53,40.09,16.56,8.816033,,
77, 2024/5/3 12:55:07,76.16,38.32,26.35,24.19,40.27,--,--,--,--,22.94,31.63,23.62,40.27,16.65,8.896465,,
78, 2024/5/3 12:55:08,77.16,38.54,26.41,24.17,40.4,--,--,--,--,22.94,31.72,23.68,40.4,16.72,8.981442,,
79, 2024/5/3 12:55:09,78.16,38.72,26.51,24.19,40.56,--,--,--,--,22.95,31.84,23.78,40.56,16.78,9.04321,,
80, 2024/5/3 12:55:10,79.16,38.94,26.55,24.22,40.74,--,--,--,--,22.95,31.96,23.82,40.74,16.92,9.136701,,
81, 2024/5/3 12:55:11,80.16,39.18,26.62,24.25,40.92,--,--,--,--,22.95,32.09,23.89,40.92,17.03,9.226493,,
82, 2024/5/3 12:55:12,81.16,39.35,26.69,24.25,41.08,--,--,--,--,22.95,32.19,23.96,41.08,17.12,9.300467,,
